channel,verified,description,subscribers,url,date_accessed
Singapore Atrium Sale,False,"A channel featuring worthy deals in Singapore. That includes atrium sales and others worthy to be shared Facebook: facebook.com/singaporeatriumsaleFor retailers or distributors seeking a real collaboration, email singaporeatriumsale@gmail.com",22977,https://t.me/singaporeatriumsale,210805
SG Student Promos,False,A dedicated group for students with affordable deals so you never have to burn a hole in your pocket.👉 Feedback/Enquiry: bit.ly/sgstudentpromosform,38329,https://t.me/sgstudentpromos,210805
Singapore Freebies by Sharetings,False,"Hello everybody :) Welcome to Singapore Freebies ChannelLet’s do our part to save the environment. If you have any items you wish to giveaway, you may do so by using our bot @sgfreebie_botRules and regulations: https://t.me/Sgfreebie/5263",6695,https://t.me/Sgfreebie,210805
SG Travel Promos,False,"We keep you updated on the latest travel deals, discounts and promotions in Singapore! 🇸🇬 From airline tickets, travel activities to overseas accommodations. ✈️Feedback/Enquiry: bit.ly/sgtravelpromosform",47247,https://t.me/sgtravelpromos,210805
SG Weekend Plans,False,A constantly updated list of new things to do so you always spend your weekends well!👉 Feedback/Enquiry: bit.ly/SGweekendform,55100,https://t.me/sgweekend,210805
🇸🇬🇲🇾 Custom & Msia Road🚦⛽️🏍🚗🚌,False,⚠️Custom & Msia Road Conditions⚠️⛽️Fuel Checks/Price Updates⛽️🏍Police Bikes🏍ℹ️Human/Bike/Car Traffic🚦💵Currency Exchange 💵,37040,https://t.me/SGCustom,210805
dateideas Singapore,False,"Unique experiences, precious memories. 💓Download our App:bit.ly/diAppDownloadFollow us on Instagram! instagram.com/dateideassgFor merchants:bit.ly/diPartnerUsContribute an interesting dateidea:bit.ly/DIcontributionQueries/Feedback@dateideas",50025,https://t.me/dateideas,210805
GoodLobang👍,False,Feedback & Deals sharing ⬇️🖋http://bit.ly/goodlobang Instagram account ⬇️📷 https://instagram.com/goodlobangsgContent submissions ⬇️👩‍💻 content@confirmgood.comCorporate request ⬇️👩‍💻 hello@confirmgood.com,187215,https://t.me/goodlobang,210805
SingSaver,False,,2711,https://t.me/singsaver,210805
NUS Chat Bot! 😄,False,Head to @unichatbotchannel for updates!,,https://t.me/nuschatbot,210805
NTU Chat Bot! 😄,False,@unichatbotchannel for *important* updates,,https://t.me/ntuchatbot,210805
SMU Chat Bot! 😄,False,,,https://t.me/smuchatbot,210805
SUSS Chat Bot! 😄,False,@unichatbotchannel,,https://t.me/susschatbot,210805
SUTD x SIT Bot,False,,,https://t.me/SUTDxSITbot,210805
Uni Chat Bot Channel,False,"Rules, Announcements, and Support the Bot!",1291,https://t.me/unichatbotchannel,210805
Progress Singapore Party Public Channel,False,"Progress Singapore Party’s official Telegram channel - For Country, For People. Website: psp.org.sg",1267,https://t.me/ProgressSingaporeParty,210805
Civics Jio!,False,"'Civics Jio!' is a platform for everyone to plug various local civics/political events, links etc.. Feel free to invite anyone on campus to join the group!invite link: tinyurl.com/civicsjio",369,https://t.me/joinchat/BuBKCVL_7bozonC4OAjFzQ,210805
Buskers’ Association (SG),False,Official Channel for BA(SG) updates and Busking related news in SingaporeJoin Singapore Buskers’ Facebook Community Group here https://www.facebook.com/groups/1621897741435743/?ref=share,64,https://t.me/SGBuskers,210805
Singapore Business Owners,False,Make Singapore Great Again!,348,https://t.me/sgbusinessowners,210805
HDB,True,"The Housing & Development Board (HDB) is Singapore's public housing authority and a statutory board under the Ministry of National Development. Find us at @SingaporeHDB on Facebook, Twitter, LinkedIn, YouTube, or @MyNiceHome on Facebook and Instagram.",17733,https://t.me/SingaporeHDB,210805
NEA Singapore,True,,4880,https://t.me/NEASingapore,210805
SG 100IV Pokemon,False,✦Looking for 💯IV and very rare Pokemons from Singapore? We're here to help! Join us now! Let's go! @SG100IVPokemon✦,5937,https://t.me/SG100IVPokemon,210805
NewsRoom Singapore,False,Feeds from Major Singapore News Sites.AsiaOneChannel News AsiaStraits TimesThe New PaperToday Online,2904,https://t.me/NewsRoomSG,210805
COVID-19 Alerts by Gov.SG | 湖北肺炎 | 武汉肺炎,False,An unofficial channel reposting health alerts send out by the Singapore Gov.SG Whatsap Group.,878,https://t.me/sgGovAlerts,210805
🇸🇬 SG Talk Share & Discuss for Singapore,False,"A place to network with those in Singapore to Talk & Share anything Main broadcast channelHttp://t.me/SGUpdateFor Governance, Houserules, Advisory & Affiliated Groups: @SGTGNSingapore Telegram Network Community",11781,https://t.me/SGTalk,210805
🇸🇬ℹ️ SG No.1 All in 1 Sharing / Updates,False,sgUpdate share anything that is New/latest! Subscribe to SG Update to get updated with stuff happening around us.- News- Custom Info- Road InfoGot things to share? Join us in http://t.me/SGTalk,14532,https://t.me/SGUpdate,210805
⚠️🚧 SGRoad Blocks / Traffic News,False,Get Up To Date Information On:⚠️Road Traffic (Accident/Serious Jam)🚧Road Blocks📸🌉OHB Speed trap👮🏼‍♀️🚌LTA at Bus Lane👮🏼‍♀️🚕LTA at Taxi Lane🏍TP & LTA Bikes☔️Weather,33715,https://t.me/SgRoad,210805
Daily Vanity (SG Beauty Deals & News),False,"Singapore’s #1 Beauty Media 💋 Follow us to join our Telegram-exclusive giveaways! 😋For the hottest beauty news, trends & tips: 🌐 dailyvanity.sg 📸 instagram.com/dailyvanity  🤳 facebook.com/dailyvanity",6918,https://t.me/dailyvanity,210805
🚚🛵 SG Parcel Delivery Jobs 🛵🚚,False,"1. Post Delivery Assignments or Requests2. No Chit Chat!! & No Gifs! 3. Warnings on Members -Keep it Short & Sharp. If you request action against, eg Ban, produce Police Report4. NO PAX  HITCH REQUESTS! Immediate ban.",17591,https://t.me/SGPARCELS,210805
SG House Of Jobs,False,Welcome to House of Jobs 🏠 We dedicate our time to find the highest quality of jobs for you! Contact @jasmine9801 for any job postings.New posters please register here: http://bit.ly/reghojHappy hunting and recruiting! ❤️,57265,https://t.me/houseofjobs,210805
SG JOBS #SearchForJob,False,Best quality Jobs channel in Singapore 🇸🇬Dedication towards easing your job selection process at your utmost convenience For Job Posting Please Contact 👨‍💻Admin: @kylee8,24935,https://t.me/SearchForJob,210805
#SGUnitedJobs,False,"Explore job listings with immediate opportunities, virtual and physical career events, the latest career tips and trends, and more! For more jobs, visit https://sgunitedjobs.gov.sg/",31816,https://t.me/SG_UnitedJobs,210805
[SG] Grab/Taxi 🚕,False,💬 Got lobang must share! 👨‍👩‍👧‍👦▶️ We help you stay updated on the latest available cab promotions/promo codes!,56033,https://t.me/sgcabpromos,210805
GrabFood SG DP Official Announcements,False,Get the latest updates from the GrabFood team!,13026,https://t.me/GFDPSGOfficial,210805
"Wake Up, Singapore",False,"Raising awareness on issues that matter, providing an alternative voice to current affairs. It's time to Wake Up, Singapore.",244,https://t.me/Wakeupsg,210805
Mr. Coconut,False,Welcome to our 🥥📲 Telegram channel.Catch our latest first-hand news and happenings. Be part of our #mrcoconuttelegram family and go refreshed! 🌊,1784,https://t.me/mrcoconutsg,210805
TOCSG,False,Singapore's longest running independent news site,6950,https://t.me/tocsg,210805
