channel,verified,description,subscribers,type,url,date_accessed
The Milelion,False,"Get the latest on miles, credit cards, airline and hotel promotions here! Also find your life partner (ymmv)!",12811,group,https://t.me/MileLion,211026
SG Concerts,False,The ultimate telegram channel in Singapore for concert updates!Know of a concert that isn't listed on our channel yet? Contribute here: https://goo.gl/forms/S5kdBCqPUiavq6ys1For collaborations and enquiries:https://goo.gl/forms/E6ivBRxHV28PslwL2,12311,channel,https://t.me/SGConcerts,211026
SG Fitness & Health,False,"The latest fitness news, discounts and tips in Singapore!👉 Feedback/Enquiry: bit.ly/sgfitnessform",12169,channel,https://t.me/SGFitnessHealth,211026
🇸🇬 SG Talk Share & Discuss for Singapore,False,"A place to network with those in Singapore to Talk & Share anything Main broadcast channelHttp://t.me/SGUpdateFor Governance, Houserules, Advisory & Affiliated Groups: @SGTGNSingapore Telegram Network Community",11889,group,https://t.me/SGTalk,211026
Event Part-Timers of Singapore,False,"A place to satisfy all your minimal time commitment cash needs. Feel free to share the link, t.me//parttimers, to your other job seeking friends!",11165,channel,https://t.me/PartTimers,211026
SG 🇸🇬 Suspected Vaccine Injuries Channel,False,Reaching out to vaccine-injured Singaporeans for the #truthlink to Group Discussions https://t.me/SGVaxInjury📧 SGVaccineInjuries@protonmail.com,10507,channel,https://t.me/SGVaccineInjuries,211026
SG Parent Things,False,"The latest places to bring your kids, deals for mommy and daddy and anything interesting to parents.👉 Feedback/Enquiry: http://bit.ly/sgparentingsform",9760,channel,https://t.me/SGParenthings,211026
ChopeDeals,False,"✨ Join ChopeDeals telegram community for first dibs on our latest promotions, exclusive discounts and food recommendations! Learn more about us here: https://cho.pe/telegramCollaborations / Feedback: https://cho.pe/TelegramForm",9703,channel,https://t.me/ChopeDeals,211026
The Workers’ Party,True,The Workers’ Party is a political party in Singapore that believes in giving power to the people.Our website can be found at http://wp.sg,9396,channel,https://t.me/SgWPsg,211026
Singapore Freebies by Sharetings,False,"Hello everybody :) Welcome to Singapore Freebies ChannelLet’s do our part to save the environment. If you have any items you wish to giveaway, you may do so by using our bot @sgfreebie_botRules and regulations: https://t.me/Sgfreebie/5263",9384,channel,https://t.me/Sgfreebie,211026
Singapore Build-to-Order Discussion - sgBTO,False,"An unofficial, Singaporeans for Singaporeans Telegram group to share information, insights and analyses on upcoming BTO projects! 💌Note that there is a captcha upon joining. Thank you for your understanding!💬 @JerekChng / @ThisIsZH (Developer)",9034,group,https://t.me/SGBTO,211026
Kiasu Police 🚨,False,Welcome to Kiasu Police! 👋🏼 🚨 This group is for discussion and live updates of deals 🙌🏼Self-promotional or non-food posts and inappropriate comments will result in an account ban 🐦Tag/PM @kiasufoodies_adminSubmit your deal here: bit.ly/3erke1B,8465,group,https://t.me/KiasuPolice,211026
Yahoo Singapore,False,Welcome to the official Telegram channel of Yahoo Singapore. Get the latest news and views sent directly to you. sg.yahoo.com,8227,channel,https://t.me/YahooSingapore,211026
CryptoSG,False,"Singapore BTC, ETH and other crypto chat- Governance, houserules, advisory & affiliated channels: @CryptoSGrules - Newbies/Exchanges @CryptoSGonboarding- FAQs: https://goo.gl/Hdh2nQ- Anything-goes chat: @CryptoSGspam",8015,group,https://t.me/CryptoSG,211026
SG Tech & Games,False,"Bringing you the latest promotions and updates on tech, electronics & gaming gadgets in Singapore.👉 Feedback/Enquiry: bit.ly/techngamesform",7344,channel,https://t.me/techngames,211026
WerkWerk SG,False,Career wisdom and job opportunities for savvy early career jobseekers in Singapore ☕️Curated for:▪️Undergrads / Fresh grads▪️Young professionals (0-5 years of exp)📬 For feedback: @werkwerkbot@werkwerksg,7146,channel,https://t.me/WerkWerkSG,211026
TOCSG,False,Singapore's longest running independent news site,6908,channel,https://t.me/tocsg,211026
The Official Shopee SG Channel,False,Welcome to the official Shopee channel where we try to provide you with the quickest updates on all that's important for your shopping journey. Join the channel to receive first dibs on all promotios!Shopee Games: https://t.me/SHOPEEPRIZES,6786,channel,https://t.me/TheOfficialShopeeSG,211026
Daily Vanity (SG Beauty Deals & News),False,"Singapore’s #1 Beauty Media 💋 Follow us to join our Telegram-exclusive giveaways! 😋For the hottest beauty news, trends & tips: 🌐 dailyvanity.sg 📸 instagram.com/dailyvanity  🤳 facebook.com/dailyvanity",6764,channel,https://t.me/dailyvanity,211026
NEA Singapore,True,,6006,channel,https://t.me/NEASingapore,211026
SG 100IV Pokemon,False,✦Looking for 💯IV and very rare Pokemons from Singapore? We're here to help! Join us now! Let's go! @SG100IVPokemon✦,5715,group,https://t.me/SG100IVPokemon,211026
🇸🇬 Crypto.com Singapore,False,🇸🇬 Singapore Crypto.com Community⬢ Visa Card: Crypto.com/cards⬢ App: Crypto.com/app⬢ NFT: Crypto.com/nftFB Group: https://www.facebook.com/groups/cryptocom.sg/FB Page: https://www.facebook.com/Cryptocom.SG/Support: Contact[at]crypto.com,5658,group,https://t.me/Cryptocom_SG,211026
GovTechBytes,False,"Byte-sized #TechforPublicGood stories, events, job alerts and more! 😎Brought to you by Government Technology Agency of Singapore.Follow us on social media for the latest news go.gov.sg/connectwithgovtech",5228,channel,https://t.me/govtechbytes,211026
SG Ask Everyone,False,⭐️ Participate in daily interesting polls!🔥Send polls or quizzes to this channel and find out what everyone thinks! ➡️ Submit your polls via @sgAskEveryoneBotOther enquiries: @timtootim,4936,channel,https://t.me/SGAskEveryone,211026
Best Offers Singapore,False,Official Pelando Singapore channel for best deals and couponsYou can contact us via  @Jimishjoban,4820,channel,https://t.me/PelandoSG,211026
OPEN JIO🤗,False,"Hello! 👋We seek to ignite people’s curiosity in social issues, and create a learning community of people who care. Stay OPEN & JIO ur friends!😊",4667,channel,https://t.me/OpenJio,211026
Mr. Coconut,False,Welcome to our 🥥📲 Telegram channel.Catch our latest first-hand news and happenings. Be part of our #mrcoconuttelegram family and go refreshed! 🌊,4605,channel,https://t.me/mrcoconutsg,211026
People’s Action Party,True,"Your official source of information on the People’s Action Party, Singapore.We’re also on:IG @papsingapore FB @pap.sg🖥: https://www.pap.org.sgPublished by and at the direction of the People’s Action Party",4207,channel,https://t.me/papsingapore,211026
Advisory,False,Empowering youths to make informed career and further education choices Drop us a query 📬 @advisorysupport_bot 🌐 advisory.sg🥳 advisory.sg/upcoming-events/,3508,channel,https://t.me/advisory_sg,211026
The Qurrent: Weekly Updates by Prout,False,Get updates on LGBTQ+ news and events in Asia every Monday and Thursday. All while maintaining your privacy - no one will know you’re in here. 😉,3459,channel,https://t.me/proutapp,211026
SingSaver,False,,3053,channel,https://t.me/singsaver,211026
NewsRoom Singapore,False,Feeds from Major Singapore News Sites.AsiaOneChannel News AsiaStraits TimesThe New PaperToday Online,2944,channel,https://t.me/NewsRoomSG,211026
MoneySmart.sg,False,Subscribe to get personal finance tips and the latest money-related news in Singapore,2636,channel,https://t.me/MoneySmartSingapore,211026
SG Bubble Tea,False,"A Group for Bubble Tea lovers! Catch the BBT deal in Singapore! For Ads, contact fb.com/lobangsiah 😊",2397,channel,https://t.me/SGBBT,211026
SG Arts Channel 🎨,False,The SG Art & Culture Scene now on telegram!We hope to build an appreciation for art and culture.Group Chat: t.me/SGACfolksIG: bit.ly/SGACONIGTo list: https://forms.gle/5m7Q73spth4AyqPRAFeedback: https://forms.gle/bsprFgMiu2LsXceJ9,2379,channel,https://t.me/SGArtsChannel,211026
Tech in Asia,False,Welcome to Tech in Asia’s channel!Get updated on the latest tech news in Asia. 💻 If you’d like to reach out:News tips: editors@techinasia.comPartnership: baisley@techinasia.comFeedback: @tiafeedbackbot,2073,channel,https://t.me/tianewsfeed,211026
SG Vape station,False,Delivery Sg🇸🇬 Active Vape Community👇Any Question & Order In Whatsapp👇👇🏽👇🏽【Whatsapp Link】Click 👇🏽👇🏽https://wa.link/e1yv36,1915,channel,https://t.me/sgrelx1,211026
Qoo10 Singapore Official,False,"Welcome to the Official Qoo10 Singapore Channel!No spamming of random messages, only QUALITY DEALS (and special news that you’ll want to see😉)See more with the Qoo10 app!iOS: https://apple.co/2TsAp6pAndroid: https://tinyurl.com/yx3yfb4b",1650,channel,https://t.me/Qoo10Deals,211026
Mutual Aid and Community Solidarity – wares,False,Broadcasting updates from the mutual aid coordination sheet by wares infoshop library.Spreadsheet:tinyurl.com/waresmutualaidContact us: waresnotwarehouses@gmail.com,1644,channel,https://t.me/waresmutualaid,211026
Singapore Data Science,False,"🍓 Learn more about Data Science 👍, Machine Learning 😘, Deep Learning, Artificial Intelligence from your fellow Data Science enthusiasts 👩‍🔬 here!",1621,group,https://t.me/SGData,211026
INTERNSG,False,"Official INTERNSG channel - curated list of Singapore internships, freelance and graduate jobs!Visit internsg.com for full list!Posting of internship is free at internsg.com/post-a-job/ but only selected ones will be published here.",1617,channel,https://t.me/internsg,211026
Uni Chat Bot Channel,False,"Rules, Announcements, and Support the Bot!",1358,channel,https://t.me/unichatbotchannel,211026
Volunteer Jio,False,,1268,channel,https://t.me/VolunteerJio,211026
Progress Singapore Party Public Channel,False,"Progress Singapore Party’s official Telegram channel - For Country, For People. Website: psp.org.sg",1213,channel,https://t.me/ProgressSingaporeParty,211026
InternFirst [SG],False,This channel’s purpose is to share opportunities that not only look good on a resume but opportunities that also culminate in great stories when completed.,1104,channel,https://t.me/internfirst,211026
