channel,verified,description,subscribers,type,url,date_accessed
SGCODE,False,Singapore Promo CodesWe are also on:https://instagram.com/sgcodehttps://facebook.com/sgcodes,38194,channel,https://t.me/SGCode,210811
🇸🇬🇲🇾 Custom & Msia Road🚦⛽️🏍🚗🚌,False,⚠️Custom & Msia Road Conditions⚠️⛽️Fuel Checks/Price Updates⛽️🏍Police Bikes🏍ℹ️Human/Bike/Car Traffic🚦💵Currency Exchange 💵,36933,group,https://t.me/SGCustom,210811
Eatbook,False,Reviews and recommendations on Singapore food 😋Follow @TSLMedia to catch up on the latest news and things to do in Singapore!,35228,channel,https://t.me/Eatbooksg,210811
SG MRT Updates,False,"Get realtime MRT disruption and delay updates, plan alternate routes and minimise inconvenience! - Brought to you by OneSilicon Studio https://fb.com/onesiliconstudio",34206,channel,https://t.me/SGMRT,210811
⚠️🚧 SGRoad Blocks / Traffic News,False,Get Up To Date Information On:⚠️Road Traffic (Accident/Serious Jam)🚧Road Blocks📸🌉OHB Speed trap👮🏼‍♀️🚌LTA at Bus Lane👮🏼‍♀️🚕LTA at Taxi Lane🏍TP & LTA Bikes☔️Weather,33757,group,https://t.me/SgRoad,210811
Singapore Part Time / Contract Jobs - sgQuickJobs,False,Welcome to @sgQuickJobs by Assemble 🎉 We connect jobs with job seekers in minutes! ⚡️ 🚀 Talk to our bot: @sgQuickJobsBot for job listings and job applications! Business enquiries: @timtootim,32779,channel,https://t.me/SGQuickJobs,210811
#SGUnitedJobs,False,"Explore job listings with immediate opportunities, virtual and physical career events, the latest career tips and trends, and more! For more jobs, visit https://sgunitedjobs.gov.sg/",31840,channel,https://t.me/SG_UnitedJobs,210811
The Woke Salarypeople,False,Save money and other cool shit. And then retire before 65. Hopefully.,30423,channel,https://t.me/WokeSalaryMan,210811
SG JOBS #SearchForJob,False,Best quality Jobs channel in Singapore 🇸🇬Dedication towards easing your job selection process at your utmost convenience For Job Posting Please Contact 👨‍💻Admin: @kylee8,26537,channel,https://t.me/SearchForJob,210811
Airfare Promotions - sgAirfarePromos,False,Welcome to @sgAirfarePromos by Assemble 🎉 We share the latest air travel news promotions for frequent travelers. Advertising enquires: @Timtootim,25246,channel,https://t.me/SGAirfarePromos,210811
Singapore Atrium Sale,False,"A channel featuring worthy deals in Singapore. That includes atrium sales and others worthy to be shared Facebook: facebook.com/singaporeatriumsaleFor retailers or distributors seeking a real collaboration, email singaporeatriumsale@gmail.com",23155,channel,https://t.me/singaporeatriumsale,210811
Singapore Careers and Job Opportunities - sgCareers,False,Welcome to @sgCareers by Assemble 🎉 We connect job seekers to employers instantly. Advertising enquires: @Timtootim,22459,channel,https://t.me/SGCareers,210811
🚨SG Rd Updates🚨,False,"To join this chat - @sgroadupdatesShare info immediately -> @SGInformersFor Jobs -> @jobpostingsOfficial channel to broadcast traffic situation to avoid jams. Singapore biggest group, more users more news.Admins: @alsontoh @Dj_Addie@Lmslms",21233,channel,https://t.me/SGRoadUpdates,210811
Singapore Internship Opportunities,False,"Telegram channel for internship opportunities in Singapore. Join now! Check worksider.com for more (Finance, Marketing, HR in Startups, SMEs and MNCs) t.me/sginternshipsFor Recruiters, submit your opportunity here: worksider.com",20646,channel,https://t.me/SGInternships,210811
Lee Hsien Loong,True,"Official Telegram channel of Mr Lee Hsien Loong, Prime Minister of Singapore, and leader of the People’s Action Party. This channel is managed by the Prime Minister’s Office.",19318,channel,https://t.me/leehsienloong,210811
DollarsAndSense.sg,False,"Welcome to the DollarsAndSense Telegram channel~Here, you'll find personal finance content, interactive polls, and contests handpicked just for you 😎We hope our content is useful in your journey towards financial freedom and financial knowledge!",18881,channel,https://t.me/DollarsAndSense,210811
Singapore Events and Places - sgWhereTo,False,Welcome to @sgWhereTo by Assemble 🎉 We’re a lifestyle media platform sharing the latest worthwhile offline and online places to go! Advertising enquires: @Timtootim,18113,channel,https://t.me/SGWhereTo,210811
HDB,True,"The Housing & Development Board (HDB) is Singapore's public housing authority and a statutory board under the Ministry of National Development. Find us at @SingaporeHDB on Facebook, Twitter, LinkedIn, YouTube, or @MyNiceHome on Facebook and Instagram.",17892,channel,https://t.me/SingaporeHDB,210811
🚚🛵 SG Parcel Delivery Jobs 🛵🚚,False,"1. Post Delivery Assignments or Requests2. No Chit Chat!! & No Gifs! 3. Warnings on Members -Keep it Short & Sharp. If you request action against, eg Ban, produce Police Report4. NO PAX  HITCH REQUESTS! Immediate ban.",17864,group,https://t.me/SGPARCELS,210811
SG New Movies & Shows,False,Reviews of the latest movies and shows worth watching. Based on Singapore release dates.👉 Feedback/Enquiry: bit.ly/sgnewmovieform,17372,channel,https://t.me/SGNewMovies,210811
🇸🇬ℹ️ SG No.1 All in 1 Sharing / Updates,False,sgUpdate share anything that is New/latest! Subscribe to SG Update to get updated with stuff happening around us.- News- Custom Info- Road InfoGot things to share? Join us in http://t.me/SGTalk,14512,channel,https://t.me/SGUpdate,210811
SG Vape 🇸🇬,False,Website: http://www.sgvape9.comTelegram Admin ：@SGVapeREX9💰Cash Delivery Sg🚗🇸🇬 All Product In channel🌟👇Any Question & Order In Whatsapp👇+6014-3120 228👇【Whatsapp Link】Click👇https://sgVapehouse.wasap.my,14502,channel,https://t.me/sgvape9,210811
GrabFood SG DP Official Announcements,False,Get the latest updates from the GrabFood team!,13013,channel,https://t.me/GFDPSGOfficial,210811
SG Concerts,False,The ultimate telegram channel in Singapore for concert updates!Know of a concert that isn't listed on our channel yet? Contribute here: https://goo.gl/forms/S5kdBCqPUiavq6ys1For collaborations and enquiries:https://goo.gl/forms/E6ivBRxHV28PslwL2,12692,channel,https://t.me/SGConcerts,210811
🇸🇬 SG Talk Share & Discuss for Singapore,False,"A place to network with those in Singapore to Talk & Share anything Main broadcast channelHttp://t.me/SGUpdateFor Governance, Houserules, Advisory & Affiliated Groups: @SGTGNSingapore Telegram Network Community",11759,group,https://t.me/SGTalk,210811
SG Fitness & Health,False,"The latest fitness news, discounts and tips in Singapore!👉 Feedback/Enquiry: bit.ly/sgfitnessform",11467,channel,https://t.me/SGFitnessHealth,210811
The Milelion,False,"Get the latest on miles, credit cards, airline and hotel promotions here! Also find your life partner (ymmv)!",11443,group,https://t.me/MileLion,210811
Event Part-Timers of Singapore,False,"A place to satisfy all your minimal time commitment cash needs. Feel free to share the link, t.me//parttimers, to your other job seeking friends!",11126,channel,https://t.me/PartTimers,210811
SG🇸🇬 Suspected Vaccine Injuries Group,False,Group objectives: Discussion platform ONLY for local vaccine injury cases.Collation of Local Injury Cases:  @SGVaccineInjuriesLocal Covid group discussions: @SGCovidDiscussion🖱Website: truthwarriors.info 📧Email: Sgvaccineinjuries@protonmail.com,10402,group,https://t.me/SGVaxInjuries,210811
SG Parent Things,False,"The latest places to bring your kids, deals for mommy and daddy and anything interesting to parents.👉 Feedback/Enquiry: http://bit.ly/sgparentingsform",9471,channel,https://t.me/SGParenthings,210811
The Workers’ Party,True,The Workers’ Party is a political party in Singapore that believes in giving power to the people.Our website can be found at http://wp.sg,9361,channel,https://t.me/SgWPsg,210811
ChopeDeals,False,"✨ Join ChopeDeals telegram community for first dibs on our latest promotions, exclusive discounts and food recommendations! Learn more about us here: https://cho.pe/telegramCollaborations / Feedback: https://cho.pe/TelegramForm",9164,channel,https://t.me/ChopeDeals,210811
Singapore Build-to-Order Discussion - sgBTO,False,"An unofficial, Singaporeans for Singaporeans Telegram group to share information, insights and analyses on upcoming BTO projects! 💌💬 @JerekChng / @ThisIsZH (Developer)",9141,group,https://t.me/SGBTO,210811
SG🇸🇬 Suspected Vaccine Injuries Channel,False,Reaching out to vaccine-injured Singaporeans for the #truthlink to Group Discussions https://t.me/SGVaxInjuries📧 SGVaccineInjuries@protonmail.com,9090,channel,https://t.me/SGVaccineInjuries,210811
Kiasu Police 🚨,False,Welcome to Kiasu Police! 👋🏼 🚨 This group is for discussion and live updates of deals 🙌🏼Self-promotional or non-food posts and inappropriate comments will result in an account ban 🐦Tag/PM @kiasufoodies_adminSubmit your deal here: bit.ly/3erke1B,8730,group,https://t.me/KiasuPolice,210811
Yahoo Singapore,False,Welcome to the official Telegram channel of Yahoo Singapore. Get the latest news and views sent directly to you. sg.yahoo.com,7790,channel,https://t.me/YahooSingapore,210811
CryptoSG,False,"Singapore BTC, ETH and other crypto chat- Governance, houserules, advisory & affiliated channels: @CryptoSGrules - Newbies/Exchanges @CryptoSGonboarding- FAQs: https://goo.gl/Hdh2nQ- Anything-goes chat: @CryptoSGspam",7323,group,https://t.me/CryptoSG,210811
TOCSG,False,Singapore's longest running independent news site,6968,channel,https://t.me/tocsg,210811
Daily Vanity (SG Beauty Deals & News),False,"Singapore’s #1 Beauty Media 💋 Follow us to join our Telegram-exclusive giveaways! 😋For the hottest beauty news, trends & tips: 🌐 dailyvanity.sg 📸 instagram.com/dailyvanity  🤳 facebook.com/dailyvanity",6940,channel,https://t.me/dailyvanity,210811
WerkWerk SG,False,Career wisdom and job opportunities for savvy early career jobseekers in Singapore ☕️Curated for:▪️Undergrads / Fresh grads▪️Young professionals (0-5 years of exp)📬 For feedback: @werkwerkbot@werkwerksg,6897,channel,https://t.me/WerkWerkSG,210811
SG 🇸🇬 Covid La Kopi,False,Group rules are pinned.Disclaimer: The views and opinions expressed in this chat group are those of the individual commenters and do not reflect the official policy or position of [SG Suspected Vaccine Injuries Core Team and Admins of this chat group],6883,group,https://t.me/SGCovidDiscussion,210811
Singapore Freebies by Sharetings,False,"Hello everybody :) Welcome to Singapore Freebies ChannelLet’s do our part to save the environment. If you have any items you wish to giveaway, you may do so by using our bot @sgfreebie_botRules and regulations: https://t.me/Sgfreebie/5263",6693,channel,https://t.me/Sgfreebie,210811
SG Tech & Games,False,"Bringing you the latest promotions and updates on tech, electronics & gaming gadgets in Singapore.👉 Feedback/Enquiry: bit.ly/techngamesform",6664,channel,https://t.me/techngames,210811
The Official Shopee SG Channel,False,Welcome to the official Shopee channel where we try to provide you with the quickest updates on all that's important for your shopping journey. Join the channel to receive first dibs on all promotios!Shopee Games: https://t.me/SHOPEEPRIZES,6351,channel,https://t.me/TheOfficialShopeeSG,210811
SG 100IV Pokemon,False,✦Looking for 💯IV and very rare Pokemons from Singapore? We're here to help! Join us now! Let's go! @SG100IVPokemon✦,5915,group,https://t.me/SG100IVPokemon,210811
Best Offers Singapore,False,Official Pelando Singapore channel for best deals and couponsYou can contact us via  @Jimishjoban,5093,channel,https://t.me/PelandoSG,210811
NEA Singapore,True,,4930,channel,https://t.me/NEASingapore,210811
GovTechBytes,False,"Byte-sized #TechforPublicGood stories, events, job alerts and more! 😎Brought to you by Government Technology Agency of Singapore.Follow us on social media for the latest news go.gov.sg/connectwithgovtech",4773,channel,https://t.me/govtechbytes,210811
OPEN JIO🤗,False,"Hello! 👋We seek to ignite people’s curiosity in social issues, and create a learning community of people who care. Stay OPEN & JIO ur friends!😊",4580,channel,https://t.me/OpenJio,210811
🇸🇬 Crypto.com Singapore,False,🇸🇬 Singapore Crypto.com Community⬢ Visa Card: Crypto.com/cards⬢ App: Crypto.com/app⬢ NFT: Crypto.com/nftFB Group: https://www.facebook.com/groups/cryptocom.sg/FB Page: https://www.facebook.com/Cryptocom.SG/Support: Contact[at]crypto.com,4555,group,https://t.me/Cryptocom_SG,210811
People’s Action Party,True,"Your official source of information on the People’s Action Party, Singapore.We’re also on:IG @papsingapore FB @pap.sg🖥: https://www.pap.org.sgPublished by and at the direction of the People’s Action Party",4009,channel,https://t.me/papsingapore,210811
SG Ask Everyone,False,⭐️ Participate in daily interesting polls!🔥Send polls or quizzes to this channel and find out what everyone thinks! ➡️ Submit your polls via @sgAskEveryoneBotOther enquiries: @timtootim,3808,channel,https://t.me/SGAskEveryone,210811
The Qurrent: Weekly Updates by Prout,False,Get updates on LGBTQ+ news and events in Asia every Monday and Thursday. All while maintaining your privacy - no one will know you’re in here. 😉,3465,channel,https://t.me/proutapp,210811
Advisory,False,Empowering youths to make informed career and further education choices Drop us a query 📬 @advisorysupport_bot 🌐 advisory.sg🥳 advisory.sg/upcoming-events/,3303,channel,https://t.me/advisory_sg,210811
NewsRoom Singapore,False,Feeds from Major Singapore News Sites.AsiaOneChannel News AsiaStraits TimesThe New PaperToday Online,2913,channel,https://t.me/NewsRoomSG,210811
SingSaver,False,,2744,channel,https://t.me/singsaver,210811
MoneySmart.sg,False,Subscribe to get personal finance tips and the latest money-related news in Singapore,2601,channel,https://t.me/MoneySmartSingapore,210811
SG Bubble Tea,False,"A Group for Bubble Tea lovers! Catch the BBT deal in Singapore! For Ads, contact fb.com/lobangsiah 😊",2324,channel,https://t.me/SGBBT,210811
Mr. Coconut,False,Welcome to our 🥥📲 Telegram channel.Catch our latest first-hand news and happenings. Be part of our #mrcoconuttelegram family and go refreshed! 🌊,2275,channel,https://t.me/mrcoconutsg,210811
SG Arts Channel 🎨,False,The SG Art & Culture Scene now on telegram!We hope to build an appreciation for art and culture.Group Chat: t.me/SGACfolksIG: bit.ly/SGACONIGTo list: https://forms.gle/5m7Q73spth4AyqPRAFeedback: https://forms.gle/bsprFgMiu2LsXceJ9,2250,channel,https://t.me/SGArtsChannel,210811
Tech in Asia,False,Welcome to Tech in Asia’s channel!Get updated on the latest tech news in Asia. 💻 If you’d like to reach out:News tips: editors@techinasia.comPartnership: baisley@techinasia.comFeedback: @tiafeedbackbot,2106,channel,https://t.me/tianewsfeed,210811
SG Vape station,False,Delivery Sg🇸🇬 Active Vape Community👇Any Question & Order In Whatsapp👇👇🏽👇🏽【Whatsapp Link】Click 👇🏽👇🏽https://wa.link/e1yv36,2039,channel,https://t.me/sgrelx1,210811
Mutual Aid and Community Solidarity – wares,False,Broadcasting updates from the mutual aid coordination sheet by wares infoshop library.Spreadsheet:tinyurl.com/waresmutualaidContact us: waresnotwarehouses@gmail.com,1703,channel,https://t.me/waresmutualaid,210811
Qoo10 Deals,False,"Welcome to Official Qoo10 Deals Channel!No spamming of random messages, only QUALITY DEALS (and special news that you’ll want to see😉)See more with the Qoo10 app!iOS: https://apple.co/2TsAp6pAndroid: https://tinyurl.com/yx3yfb4b",1702,channel,https://t.me/Qoo10Deals,210811
Singapore Data Science,False,"🍓 Learn more about Data Science 👍, Machine Learning 😘, Deep Learning, Artificial Intelligence from your fellow Data Science enthusiasts 👩‍🔬 here!",1665,group,https://t.me/SGData,210811
INTERNSG,False,"Official INTERNSG channel - curated list of Singapore internships, freelance and graduate jobs!Visit internsg.com for full list!Posting of internship is free at internsg.com/post-a-job/ but only selected ones will be published here.",1503,channel,https://t.me/internsg,210811
Uni Chat Bot Channel,False,"Rules, Announcements, and Support the Bot!",1301,channel,https://t.me/unichatbotchannel,210811
Progress Singapore Party Public Channel,False,"Progress Singapore Party’s official Telegram channel - For Country, For People. Website: psp.org.sg",1265,channel,https://t.me/ProgressSingaporeParty,210811
Volunteer Jio,False,,1215,channel,https://t.me/VolunteerJio,210811
