channel,verified,description,subscribers,type,url,date_accessed
⚠️🚧 SGRoad Blocks / Traffic News,False,Get Up To Date Information On:⚠️Road Traffic (Accident/Serious Jam)🚧Road Blocks📸🌉OHB Speed trap👮🏼‍♀️🚌LTA at Bus Lane👮🏼‍♀️🚕LTA at Taxi Lane🏍TP & LTA Bikes☔️Weather,33427,group,https://t.me/SgRoad,210930
Singapore Part Time / Contract Jobs - sgQuickJobs,False,Welcome to @sgQuickJobs by Assemble 🎉 We connect jobs with job seekers in minutes! ⚡️ 🚀 Talk to our bot: @sgQuickJobsBot for job listings and job applications! Business enquiries: @timtootim,32278,channel,https://t.me/SGQuickJobs,210930
#SGUnitedJobs,False,"Find the latest full time and part time jobs in Singapore, explore upcoming career events, get career tips and industry trends, and more! 🔎Expand your job search at https://mycareersfuture.gov.sgBy Workforce Singapore (WSG)",32202,channel,https://t.me/SG_UnitedJobs,210930
Airfare Promotions - sgAirfarePromos,False,Welcome to @sgAirfarePromos by Assemble 🎉 We share the latest air travel news promotions for frequent travelers. Advertising enquires: @Timtootim,24887,channel,https://t.me/SGAirfarePromos,210930
Singapore Atrium Sale,False,"A channel featuring worthy deals in Singapore. That includes atrium sales and others worthy to be shared Facebook: facebook.com/singaporeatriumsaleFor retailers or distributors seeking a real collaboration, email singaporeatriumsale@gmail.com",23752,channel,https://t.me/singaporeatriumsale,210930
Singapore Careers and Job Opportunities - sgCareers,False,Welcome to @sgCareers by Assemble 🎉 We connect job seekers to employers instantly. Advertising enquires: @Timtootim,22394,channel,https://t.me/SGCareers,210930
SG JOBS #SearchForJob,False,Best quality Jobs channel in Singapore 🇸🇬Dedication towards easing your job selection process at your utmost convenience For Job Posting Please Contact 👨‍💻Admin: @kylee8,21559,channel,https://t.me/SearchForJob,210930
🚨SG Rd Updates🚨,False,"To join this chat - @sgroadupdatesShare info immediately -> @SGInformersFor Jobs -> @jobpostingsOfficial channel to broadcast traffic situation to avoid jams. Singapore biggest group, more users more news.Admins: @alsontoh @Dj_Addie@Lmslms",21317,channel,https://t.me/SGRoadUpdates,210930
HDB,True,"The Housing & Development Board (HDB) is Singapore's public housing authority and a statutory board under the Ministry of National Development. Find us at @SingaporeHDB on Facebook, Twitter, LinkedIn, YouTube, or @MyNiceHome on Facebook and Instagram.",21302,channel,https://t.me/SingaporeHDB,210930
Singapore Internship Opportunities,False,"Telegram channel for internship opportunities in Singapore. Join now! Check worksider.com for more (Finance, Marketing, HR in Startups, SMEs and MNCs) t.me/sginternshipsFor Recruiters, submit your opportunity here: worksider.com",20632,channel,https://t.me/SGInternships,210930
🚚🛵 SG Parcel Delivery Jobs 🛵🚚,False,"1. Post Delivery Assignments or Requests2. No Chit Chat!! & No Gifs! 3. Warnings on Members -Keep it Short & Sharp. If you request action against, eg Ban, produce Police Report4. NO PAX  HITCH REQUESTS! Immediate ban.",19900,group,https://t.me/SGPARCELS,210930
Lee Hsien Loong,True,"Official Telegram channel of Mr Lee Hsien Loong, Prime Minister of Singapore, and leader of the People’s Action Party. This channel is managed by the Prime Minister’s Office.",19310,channel,https://t.me/leehsienloong,210930
DollarsAndSense.sg,False,"Welcome to the DollarsAndSense Telegram channel~Here, you'll find personal finance content, interactive polls, and contests handpicked just for you 😎We hope our content is useful in your journey towards financial freedom and financial knowledge!",19001,channel,https://t.me/DollarsAndSense,210930
Singapore Events and Places - sgWhereTo,False,Welcome to @sgWhereTo by Assemble 🎉 We’re a lifestyle media platform sharing the latest worthwhile offline and online places to go! Advertising enquires: @Timtootim,17899,channel,https://t.me/SGWhereTo,210930
SG New Movies & Shows,False,Reviews of the latest movies and shows worth watching. Based on Singapore release dates.👉 Feedback/Enquiry: bit.ly/sgnewmovieform,17637,channel,https://t.me/SGNewMovies,210930
GrabFood SG DP Official Announcements,False,Get the latest updates from the GrabFood team!,16032,channel,https://t.me/GFDPSGOfficial,210930
🇸🇬ℹ️ SG No.1 All in 1 Sharing / Updates,False,sgUpdate share anything that is New/latest! Subscribe to SG Update to get updated with stuff happening around us.- News- Custom Info- Road InfoGot things to share? Join us in http://t.me/SGTalk,14395,channel,https://t.me/SGUpdate,210930
SG Vape 🇸🇬,False,Website: http://www.sgvape9.comTelegram Admin ：@SGVapeREX9💰Cash Delivery Sg🚗🇸🇬 All Product In channel🌟👇Any Question & Order In Whatsapp👇+6014-3120 228👇【Whatsapp Link】Click👇https://sgVapehouse.wasap.my,14240,channel,https://t.me/sgvape9,210930
SG Quarantine Order Support Group,False,,12713,group,https://t.me/SGQuarantineOrder,210930
SG Concerts,False,The ultimate telegram channel in Singapore for concert updates!Know of a concert that isn't listed on our channel yet? Contribute here: https://goo.gl/forms/S5kdBCqPUiavq6ys1For collaborations and enquiries:https://goo.gl/forms/E6ivBRxHV28PslwL2,12491,channel,https://t.me/SGConcerts,210930
SG Fitness & Health,False,"The latest fitness news, discounts and tips in Singapore!👉 Feedback/Enquiry: bit.ly/sgfitnessform",12012,channel,https://t.me/SGFitnessHealth,210930
🇸🇬 SG Talk Share & Discuss for Singapore,False,"A place to network with those in Singapore to Talk & Share anything Main broadcast channelHttp://t.me/SGUpdateFor Governance, Houserules, Advisory & Affiliated Groups: @SGTGNSingapore Telegram Network Community",11962,group,https://t.me/SGTalk,210930
The Milelion,False,"Get the latest on miles, credit cards, airline and hotel promotions here! Also find your life partner (ymmv)!",11821,group,https://t.me/MileLion,210930
Event Part-Timers of Singapore,False,"A place to satisfy all your minimal time commitment cash needs. Feel free to share the link, t.me//parttimers, to your other job seeking friends!",11121,channel,https://t.me/PartTimers,210930
SG 🇸🇬 Suspected Vaccine Injuries Channel,False,Reaching out to vaccine-injured Singaporeans for the #truthlink to Group Discussions https://t.me/SGVaxInjury📧 SGVaccineInjuries@protonmail.com,9903,channel,https://t.me/SGVaccineInjuries,210930
ChopeDeals,False,"✨ Join ChopeDeals telegram community for first dibs on our latest promotions, exclusive discounts and food recommendations! Learn more about us here: https://cho.pe/telegramCollaborations / Feedback: https://cho.pe/TelegramForm",9706,channel,https://t.me/ChopeDeals,210930
SG Parent Things,False,"The latest places to bring your kids, deals for mommy and daddy and anything interesting to parents.👉 Feedback/Enquiry: http://bit.ly/sgparentingsform",9631,channel,https://t.me/SGParenthings,210930
The Workers’ Party,True,The Workers’ Party is a political party in Singapore that believes in giving power to the people.Our website can be found at http://wp.sg,9411,channel,https://t.me/SgWPsg,210930
Singapore Build-to-Order Discussion - sgBTO,False,"An unofficial, Singaporeans for Singaporeans Telegram group to share information, insights and analyses on upcoming BTO projects! 💌💬 @JerekChng / @ThisIsZH (Developer)",9129,group,https://t.me/SGBTO,210930
Kiasu Police 🚨,False,Welcome to Kiasu Police! 👋🏼 🚨 This group is for discussion and live updates of deals 🙌🏼Self-promotional or non-food posts and inappropriate comments will result in an account ban 🐦Tag/PM @kiasufoodies_adminSubmit your deal here: bit.ly/3erke1B,8579,group,https://t.me/KiasuPolice,210930
Yahoo Singapore,False,Welcome to the official Telegram channel of Yahoo Singapore. Get the latest news and views sent directly to you. sg.yahoo.com,8100,channel,https://t.me/YahooSingapore,210930
CryptoSG,False,"Singapore BTC, ETH and other crypto chat- Governance, houserules, advisory & affiliated channels: @CryptoSGrules - Newbies/Exchanges @CryptoSGonboarding- FAQs: https://goo.gl/Hdh2nQ- Anything-goes chat: @CryptoSGspam",7867,group,https://t.me/CryptoSG,210930
Singapore Freebies by Sharetings,False,"Hello everybody :) Welcome to Singapore Freebies ChannelLet’s do our part to save the environment. If you have any items you wish to giveaway, you may do so by using our bot @sgfreebie_botRules and regulations: https://t.me/Sgfreebie/5263",7656,channel,https://t.me/Sgfreebie,210930
WerkWerk SG,False,Career wisdom and job opportunities for savvy early career jobseekers in Singapore ☕️Curated for:▪️Undergrads / Fresh grads▪️Young professionals (0-5 years of exp)📬 For feedback: @werkwerkbot@werkwerksg,7103,channel,https://t.me/WerkWerkSG,210930
SG Tech & Games,False,"Bringing you the latest promotions and updates on tech, electronics & gaming gadgets in Singapore.👉 Feedback/Enquiry: bit.ly/techngamesform",7041,channel,https://t.me/techngames,210930
TOCSG,False,Singapore's longest running independent news site,7038,channel,https://t.me/tocsg,210930
The Official Shopee SG Channel,False,Welcome to the official Shopee channel where we try to provide you with the quickest updates on all that's important for your shopping journey. Join the channel to receive first dibs on all promotios!Shopee Games: https://t.me/SHOPEEPRIZES,6729,channel,https://t.me/TheOfficialShopeeSG,210930
Daily Vanity (SG Beauty Deals & News),False,"Singapore’s #1 Beauty Media 💋 Follow us to join our Telegram-exclusive giveaways! 😋For the hottest beauty news, trends & tips: 🌐 dailyvanity.sg 📸 instagram.com/dailyvanity  🤳 facebook.com/dailyvanity",6705,channel,https://t.me/dailyvanity,210930
SG 100IV Pokemon,False,✦Looking for 💯IV and very rare Pokemons from Singapore? We're here to help! Join us now! Let's go! @SG100IVPokemon✦,5776,group,https://t.me/SG100IVPokemon,210930
NEA Singapore,True,,5406,channel,https://t.me/NEASingapore,210930
🇸🇬 Crypto.com Singapore,False,🇸🇬 Singapore Crypto.com Community⬢ Visa Card: Crypto.com/cards⬢ App: Crypto.com/app⬢ NFT: Crypto.com/nftFB Group: https://www.facebook.com/groups/cryptocom.sg/FB Page: https://www.facebook.com/Cryptocom.SG/Support: Contact[at]crypto.com,5240,group,https://t.me/Cryptocom_SG,210930
GovTechBytes,False,"Byte-sized #TechforPublicGood stories, events, job alerts and more! 😎Brought to you by Government Technology Agency of Singapore.Follow us on social media for the latest news go.gov.sg/connectwithgovtech",5096,channel,https://t.me/govtechbytes,210930
Best Offers Singapore,False,Official Pelando Singapore channel for best deals and couponsYou can contact us via  @Jimishjoban,4950,channel,https://t.me/PelandoSG,210930
OPEN JIO🤗,False,"Hello! 👋We seek to ignite people’s curiosity in social issues, and create a learning community of people who care. Stay OPEN & JIO ur friends!😊",4652,channel,https://t.me/OpenJio,210930
People’s Action Party,True,"Your official source of information on the People’s Action Party, Singapore.We’re also on:IG @papsingapore FB @pap.sg🖥: https://www.pap.org.sgPublished by and at the direction of the People’s Action Party",4153,channel,https://t.me/papsingapore,210930
SG Ask Everyone,False,⭐️ Participate in daily interesting polls!🔥Send polls or quizzes to this channel and find out what everyone thinks! ➡️ Submit your polls via @sgAskEveryoneBotOther enquiries: @timtootim,4039,channel,https://t.me/SGAskEveryone,210930
Mr. Coconut,False,Welcome to our 🥥📲 Telegram channel.Catch our latest first-hand news and happenings. Be part of our #mrcoconuttelegram family and go refreshed! 🌊,4001,channel,https://t.me/mrcoconutsg,210930
Advisory,False,Empowering youths to make informed career and further education choices Drop us a query 📬 @advisorysupport_bot 🌐 advisory.sg🥳 advisory.sg/upcoming-events/,3486,channel,https://t.me/advisory_sg,210930
The Qurrent: Weekly Updates by Prout,False,Get updates on LGBTQ+ news and events in Asia every Monday and Thursday. All while maintaining your privacy - no one will know you’re in here. 😉,3446,channel,https://t.me/proutapp,210930
SingSaver,False,,2951,channel,https://t.me/singsaver,210930
NewsRoom Singapore,False,Feeds from Major Singapore News Sites.AsiaOneChannel News AsiaStraits TimesThe New PaperToday Online,2927,channel,https://t.me/NewsRoomSG,210930
MoneySmart.sg,False,Subscribe to get personal finance tips and the latest money-related news in Singapore,2640,channel,https://t.me/MoneySmartSingapore,210930
SG Bubble Tea,False,"A Group for Bubble Tea lovers! Catch the BBT deal in Singapore! For Ads, contact fb.com/lobangsiah 😊",2379,channel,https://t.me/SGBBT,210930
SG Arts Channel 🎨,False,The SG Art & Culture Scene now on telegram!We hope to build an appreciation for art and culture.Group Chat: t.me/SGACfolksIG: bit.ly/SGACONIGTo list: https://forms.gle/5m7Q73spth4AyqPRAFeedback: https://forms.gle/bsprFgMiu2LsXceJ9,2288,channel,https://t.me/SGArtsChannel,210930
Tech in Asia,False,Welcome to Tech in Asia’s channel!Get updated on the latest tech news in Asia. 💻 If you’d like to reach out:News tips: editors@techinasia.comPartnership: baisley@techinasia.comFeedback: @tiafeedbackbot,2085,channel,https://t.me/tianewsfeed,210930
SG Vape station,False,Delivery Sg🇸🇬 Active Vape Community👇Any Question & Order In Whatsapp👇👇🏽👇🏽【Whatsapp Link】Click 👇🏽👇🏽https://wa.link/e1yv36,1977,channel,https://t.me/sgrelx1,210930
Qoo10 Deals,False,"Welcome to Official Qoo10 Deals Channel!No spamming of random messages, only QUALITY DEALS (and special news that you’ll want to see😉)See more with the Qoo10 app!iOS: https://apple.co/2TsAp6pAndroid: https://tinyurl.com/yx3yfb4b",1675,channel,https://t.me/Qoo10Deals,210930
Mutual Aid and Community Solidarity – wares,False,Broadcasting updates from the mutual aid coordination sheet by wares infoshop library.Spreadsheet:tinyurl.com/waresmutualaidContact us: waresnotwarehouses@gmail.com,1654,channel,https://t.me/waresmutualaid,210930
Singapore Data Science,False,"🍓 Learn more about Data Science 👍, Machine Learning 😘, Deep Learning, Artificial Intelligence from your fellow Data Science enthusiasts 👩‍🔬 here!",1643,group,https://t.me/SGData,210930
INTERNSG,False,"Official INTERNSG channel - curated list of Singapore internships, freelance and graduate jobs!Visit internsg.com for full list!Posting of internship is free at internsg.com/post-a-job/ but only selected ones will be published here.",1588,channel,https://t.me/internsg,210930
Uni Chat Bot Channel,False,"Rules, Announcements, and Support the Bot!",1358,channel,https://t.me/unichatbotchannel,210930
Volunteer Jio,False,,1250,channel,https://t.me/VolunteerJio,210930
Progress Singapore Party Public Channel,False,"Progress Singapore Party’s official Telegram channel - For Country, For People. Website: psp.org.sg",1224,channel,https://t.me/ProgressSingaporeParty,210930
