channel,verified,description,subscribers,url,date_accessed
SG🇸🇬 Suspected Vaccine Injuries Group,False,Group objectives: Discussion platform ONLY for local vaccine injury cases.Collation of Local Injury Cases:  @SGVaccineInjuriesLocal Covid group discussions: @SGCovidDiscussion🖱Website: truthwarriors.info 📧Email: Sgvaccineinjuries@protonmail.com,9748,https://t.me/SGVaxInjuries,210807
Lee Hsien Loong,True,"Official Telegram channel of Mr Lee Hsien Loong, Prime Minister of Singapore, and leader of the People’s Action Party. This channel is managed by the Prime Minister’s Office.",19357,https://t.me/leehsienloong,210807
The Straits Times,True,Stay in the know with the latest news from Singapore and around the world.,155771,https://t.me/TheStraitsTimes,210807
SG Food Deals,False,A Telegram channel for foodies with the latest food promotions and discounts in Singapore.👉 Feedback/Enquiry: bit.ly/sgfooddealsform,107632,https://t.me/sgfooddeals,210807
Singapore Atrium Sale,False,"A channel featuring worthy deals in Singapore. That includes atrium sales and others worthy to be shared Facebook: facebook.com/singaporeatriumsaleFor retailers or distributors seeking a real collaboration, email singaporeatriumsale@gmail.com",23068,https://t.me/singaporeatriumsale,210807
SG Student Promos,False,A dedicated group for students with affordable deals so you never have to burn a hole in your pocket.👉 Feedback/Enquiry: bit.ly/sgstudentpromosform,38422,https://t.me/sgstudentpromos,210807
Singapore Freebies by Sharetings,False,"Hello everybody :) Welcome to Singapore Freebies ChannelLet’s do our part to save the environment. If you have any items you wish to giveaway, you may do so by using our bot @sgfreebie_botRules and regulations: https://t.me/Sgfreebie/5263",6692,https://t.me/Sgfreebie,210807
SG Travel Promos,False,"We keep you updated on the latest travel deals, discounts and promotions in Singapore! 🇸🇬 From airline tickets, travel activities to overseas accommodations. ✈️Feedback/Enquiry: bit.ly/sgtravelpromosform",47361,https://t.me/sgtravelpromos,210807
SG Weekend Plans,False,A constantly updated list of new things to do so you always spend your weekends well!👉 Feedback/Enquiry: bit.ly/SGweekendform,55228,https://t.me/sgweekend,210807
🇸🇬🇲🇾 Custom & Msia Road🚦⛽️🏍🚗🚌,False,⚠️Custom & Msia Road Conditions⚠️⛽️Fuel Checks/Price Updates⛽️🏍Police Bikes🏍ℹ️Human/Bike/Car Traffic🚦💵Currency Exchange 💵,37020,https://t.me/SGCustom,210807
dateideas Singapore,False,"Unique experiences, precious memories. 💓Download our App:bit.ly/diAppDownloadFollow us on Instagram! instagram.com/dateideassgFor merchants:bit.ly/diPartnerUsContribute an interesting dateidea:bit.ly/DIcontributionQueries/Feedback@dateideas",50035,https://t.me/dateideas,210807
GoodLobang👍,False,Feedback & Deals sharing ⬇️🖋http://bit.ly/goodlobang Instagram account ⬇️📷 https://instagram.com/goodlobangsgContent submissions ⬇️👩‍💻 content@confirmgood.comCorporate request ⬇️👩‍💻 hello@confirmgood.com,187222,https://t.me/goodlobang,210807
SingSaver,False,,2722,https://t.me/singsaver,210807
NUS Chat Bot! 😄,False,Head to @unichatbotchannel for updates!,,https://t.me/nuschatbot,210807
NTU Chat Bot! 😄,False,@unichatbotchannel for *important* updates,,https://t.me/ntuchatbot,210807
SMU Chat Bot! 😄,False,,,https://t.me/smuchatbot,210807
SUSS Chat Bot! 😄,False,@unichatbotchannel,,https://t.me/susschatbot,210807
SUTD x SIT Bot,False,,,https://t.me/SUTDxSITbot,210807
Uni Chat Bot Channel,False,"Rules, Announcements, and Support the Bot!",1296,https://t.me/unichatbotchannel,210807
Progress Singapore Party Public Channel,False,"Progress Singapore Party’s official Telegram channel - For Country, For People. Website: psp.org.sg",1267,https://t.me/ProgressSingaporeParty,210807
Civics Jio!,False,"'Civics Jio!' is a platform for everyone to plug various local civics/political events, links etc.. Feel free to invite anyone on campus to join the group!invite link: tinyurl.com/civicsjio",369,https://t.me/joinchat/BuBKCVL_7bozonC4OAjFzQ,210807
Bus Uncle,False,I tell you bus arrival time and how to go anywhere in Singapore,,https://t.me/SGBusUncleBOT,210807
Buskers’ Association (SG),False,Official Channel for BA(SG) updates and Busking related news in SingaporeJoin Singapore Buskers’ Facebook Community Group here https://www.facebook.com/groups/1621897741435743/?ref=share,65,https://t.me/SGBuskers,210807
Singapore Business Owners,False,Make Singapore Great Again!,347,https://t.me/sgbusinessowners,210807
HDB,True,"The Housing & Development Board (HDB) is Singapore's public housing authority and a statutory board under the Ministry of National Development. Find us at @SingaporeHDB on Facebook, Twitter, LinkedIn, YouTube, or @MyNiceHome on Facebook and Instagram.",17769,https://t.me/SingaporeHDB,210807
NEA Singapore,True,,4902,https://t.me/NEASingapore,210807
SG 100IV Pokemon,False,✦Looking for 💯IV and very rare Pokemons from Singapore? We're here to help! Join us now! Let's go! @SG100IVPokemon✦,5935,https://t.me/SG100IVPokemon,210807
NewsRoom Singapore,False,Feeds from Major Singapore News Sites.AsiaOneChannel News AsiaStraits TimesThe New PaperToday Online,2906,https://t.me/NewsRoomSG,210807
COVID-19 Alerts by Gov.SG | 湖北肺炎 | 武汉肺炎,False,An unofficial channel reposting health alerts send out by the Singapore Gov.SG Whatsap Group.,879,https://t.me/sgGovAlerts,210807
🇸🇬 SG Talk Share & Discuss for Singapore,False,"A place to network with those in Singapore to Talk & Share anything Main broadcast channelHttp://t.me/SGUpdateFor Governance, Houserules, Advisory & Affiliated Groups: @SGTGNSingapore Telegram Network Community",11765,https://t.me/SGTalk,210807
🇸🇬ℹ️ SG No.1 All in 1 Sharing / Updates,False,sgUpdate share anything that is New/latest! Subscribe to SG Update to get updated with stuff happening around us.- News- Custom Info- Road InfoGot things to share? Join us in http://t.me/SGTalk,14518,https://t.me/SGUpdate,210807
⚠️🚧 SGRoad Blocks / Traffic News,False,Get Up To Date Information On:⚠️Road Traffic (Accident/Serious Jam)🚧Road Blocks📸🌉OHB Speed trap👮🏼‍♀️🚌LTA at Bus Lane👮🏼‍♀️🚕LTA at Taxi Lane🏍TP & LTA Bikes☔️Weather,33726,https://t.me/SgRoad,210807
Daily Vanity (SG Beauty Deals & News),False,"Singapore’s #1 Beauty Media 💋 Follow us to join our Telegram-exclusive giveaways! 😋For the hottest beauty news, trends & tips: 🌐 dailyvanity.sg 📸 instagram.com/dailyvanity  🤳 facebook.com/dailyvanity",6922,https://t.me/dailyvanity,210807
🚚🛵 SG Parcel Delivery Jobs 🛵🚚,False,"1. Post Delivery Assignments or Requests2. No Chit Chat!! & No Gifs! 3. Warnings on Members -Keep it Short & Sharp. If you request action against, eg Ban, produce Police Report4. NO PAX  HITCH REQUESTS! Immediate ban.",17698,https://t.me/SGPARCELS,210807
SG House Of Jobs,False,Welcome to House of Jobs 🏠 We dedicate our time to find the highest quality of jobs for you! Contact @jasmine9801 for any job postings.New posters please register here: http://bit.ly/reghojHappy hunting and recruiting! ❤️,57186,https://t.me/houseofjobs,210807
SG JOBS #SearchForJob,False,Best quality Jobs channel in Singapore 🇸🇬Dedication towards easing your job selection process at your utmost convenience For Job Posting Please Contact 👨‍💻Admin: @kylee8,24829,https://t.me/SearchForJob,210807
#SGUnitedJobs,False,"Explore job listings with immediate opportunities, virtual and physical career events, the latest career tips and trends, and more! For more jobs, visit https://sgunitedjobs.gov.sg/",31823,https://t.me/SG_UnitedJobs,210807
[SG] Grab/Taxi 🚕,False,💬 Got lobang must share! 👨‍👩‍👧‍👦▶️ We help you stay updated on the latest available cab promotions/promo codes!,56013,https://t.me/sgcabpromos,210807
GrabFood SG DP Official Announcements,False,Get the latest updates from the GrabFood team!,13032,https://t.me/GFDPSGOfficial,210807
"Wake Up, Singapore",False,"Raising awareness on issues that matter, providing an alternative voice to current affairs. It's time to Wake Up, Singapore.",244,https://t.me/Wakeupsg,210807
Mr. Coconut,False,Welcome to our 🥥📲 Telegram channel.Catch our latest first-hand news and happenings. Be part of our #mrcoconuttelegram family and go refreshed! 🌊,2007,https://t.me/mrcoconutsg,210807
TOCSG,False,Singapore's longest running independent news site,6952,https://t.me/tocsg,210807
Eatbook,False,Reviews and recommendations on Singapore food 😋Follow @TSLMedia to catch up on the latest news and things to do in Singapore!,35191,https://t.me/Eatbooksg,210807
SG Kiasu Foodies [Discounts/Promos],False,Deals you actually want. 🍔 Submit a deal: bit.ly/3erke1B💛 Contact us:hello@kiasufoodies.com🐤 Join our community:@kiasupoliceWant more deals from us? Join @kiasukakis,174103,https://t.me/KiasuFoodies,210807
ChopeDeals,False,"✨ Join ChopeDeals telegram community for first dibs on our latest promotions, exclusive discounts and food recommendations! Learn more about us here: https://cho.pe/telegramCollaborations / Feedback: https://cho.pe/TelegramForm",9166,https://t.me/ChopeDeals,210807
SG Food Lobang👍,False,Open Channel For Food SharingIf you are a F&B brand with a great offer kindly email us at sgoodlobang@gmail.com for more exposure!,43456,https://t.me/SGFoodLobang,210807
Singapore Coffee Lovers Club,False,"Coffee lovers gather! Here in this channel, we explore about everything coffee and more! ☕Visit us at:thecoffeeroaster.sgInvite your friends! ➡️ t.me/sgcoffeelovers",296,https://t.me/SGCoffeeLovers,210807
SG Bubble Tea,False,"A Group for Bubble Tea lovers! Catch the BBT deal in Singapore! For Ads, contact fb.com/lobangsiah 😊",2318,https://t.me/SGBBT,210807
WerkWerk SG,False,Career wisdom and job opportunities for savvy early career jobseekers in Singapore ☕️Curated for:▪️Undergrads / Fresh grads▪️Young professionals (0-5 years of exp)📬 For feedback: @werkwerkbot@werkwerksg,6902,https://t.me/WerkWerkSG,210807
Singapore Internship Opportunities,False,"Telegram channel for internship opportunities in Singapore. Join now! Check worksider.com for more (Finance, Marketing, HR in Startups, SMEs and MNCs) t.me/sginternshipsFor Recruiters, submit your opportunity here: worksider.com",20677,https://t.me/SGInternships,210807
Event Part-Timers of Singapore,False,"A place to satisfy all your minimal time commitment cash needs. Feel free to share the link, t.me//parttimers, to your other job seeking friends!",11144,https://t.me/PartTimers,210807
SG Part Timers #Snatchjobs 🇸🇬,False,Best quality Part Time Job channel of Singapore 🇸🇬Dedicated to ease your job selecting process at your convenience 💪👨‍💻Admin👨‍💻@Willionaire872🤝Associated🤝@sgfulltimers ⬅️ For Full time Career 🧑‍💼👨‍💼Share it with your friends!,114922,https://t.me/SGPartTimers,210807
Singapore Part Time Jobs,False,"Looking for enthusiastic, responsible and joyous Part Timers to hop on board this wagon!Share the link below and dont let your friends around you miss out on the most popular part-time job channel in SG!",72134,https://t.me/SingaporePartTimeJobs,210807
Singapore Part Time / Contract Jobs - sgQuickJobs,False,Welcome to @sgQuickJobs by Assemble 🎉 We connect jobs with job seekers in minutes! ⚡️ 🚀 Talk to our bot: @sgQuickJobsBot for job listings and job applications! Business enquiries: @timtootim,32840,https://t.me/SGQuickJobs,210807
Singapore Careers and Job Opportunities - sgCareers,False,Welcome to @sgCareers by Assemble 🎉 We connect job seekers to employers instantly. Advertising enquires: @Timtootim,22455,https://t.me/SGCareers,210807
INTERNSG,False,"Official INTERNSG channel - curated list of Singapore internships, freelance and graduate jobs!Visit internsg.com for full list!Posting of internship is free at internsg.com/post-a-job/ but only selected ones will be published here.",1502,https://t.me/internsg,210807
Singapore Events and Places - sgWhereTo,False,Welcome to @sgWhereTo by Assemble 🎉 We’re a lifestyle media platform sharing the latest worthwhile offline and online places to go! Advertising enquires: @Timtootim,18118,https://t.me/SGWhereTo,210807
SG New Movies & Shows,False,Reviews of the latest movies and shows worth watching. Based on Singapore release dates.👉 Feedback/Enquiry: bit.ly/sgnewmovieform,17203,https://t.me/SGNewMovies,210807
SG Concerts,False,The ultimate telegram channel in Singapore for concert updates!Know of a concert that isn't listed on our channel yet? Contribute here: https://goo.gl/forms/S5kdBCqPUiavq6ys1For collaborations and enquiries:https://goo.gl/forms/E6ivBRxHV28PslwL2,12692,https://t.me/SGConcerts,210807
SG Fitness & Health,False,"The latest fitness news, discounts and tips in Singapore!👉 Feedback/Enquiry: bit.ly/sgfitnessform",11316,https://t.me/SGFitnessHealth,210807
SG Parent Things,False,"The latest places to bring your kids, deals for mommy and daddy and anything interesting to parents.👉 Feedback/Enquiry: http://bit.ly/sgparentingsform",9401,https://t.me/SGParenthings,210807
SG Ask Everyone,False,⭐️ Participate in daily interesting polls!🔥Send polls or quizzes to this channel and find out what everyone thinks! ➡️ Submit your polls via @sgAskEveryoneBotOther enquiries: @timtootim,3799,https://t.me/SGAskEveryone,210807
Seedly Personal Finance SG,False,"Here’s financial info that every Singaporean millennial needs to know, from your friendly neighbourhood Seedly.sgPromise we won’t judge, we just want to help! 👻INVITE YOUR FRIENDS! ➡️ t.me/personalfinancesg",48600,https://t.me/PersonalFinanceSG,210807
DollarsAndSense.sg,False,"Welcome to the DollarsAndSense Telegram channel~Here, you'll find personal finance content, interactive polls, and contests handpicked just for you 😎We hope our content is useful in your journey towards financial freedom and financial knowledge!",18866,https://t.me/DollarsAndSense,210807
The Woke Salarypeople,False,Save money and other cool shit. And then retire before 65. Hopefully.,30424,https://t.me/WokeSalaryMan,210807
MoneySmart.sg,False,Subscribe to get personal finance tips and the latest money-related news in Singapore,2596,https://t.me/MoneySmartSingapore,210807
The Milelion,False,"Get the latest on miles, credit cards, airline and hotel promotions here! Also find your life partner (ymmv)!",11418,https://t.me/MileLion,210807
Airfare Promotions - sgAirfarePromos,False,Welcome to @sgAirfarePromos by Assemble 🎉 We share the latest air travel news promotions for frequent travelers. Advertising enquires: @Timtootim,25276,https://t.me/SGAirfarePromos,210807
SGTravelHacks,False,,110,https://t.me/SGTravelHacks,210807
SG MRT Updates,False,"Get realtime MRT disruption and delay updates, plan alternate routes and minimise inconvenience! - Brought to you by OneSilicon Studio https://fb.com/onesiliconstudio",34205,https://t.me/SGMRT,210807
🇸🇬 SG Hitch 👋 = 🚗 | 🛵 | 🚌 Singapore,False,SGHitch serves as a bridge between DRIVERs & HITCHERs to provide a CHEAPER alternative with the demolition of late night Grab Hitch services.✔️Willing Drivers✔️Willing Hitchers❌Else pls leave or be removedStarted: 26/2/19Feature by ST: goo.gl/9XiRnx,67923,https://t.me/SGHitch,210807
🚨SG Rd Updates🚨,False,"To join this chat - @sgroadupdatesShare info immediately -> @SGInformersFor Jobs -> @jobpostingsOfficial channel to broadcast traffic situation to avoid jams. Singapore biggest group, more users more news.Admins: @alsontoh @Dj_Addie@Lmslms",21212,https://t.me/SGRoadUpdates,210807
CNA,True,Top stories from CNA https://cna.asia,164682,https://t.me/CNALatest,210807
MS News,False,,40129,https://t.me/MustShareNews,210807
Tech in Asia,False,Welcome to Tech in Asia’s channel!Get updated on the latest tech news in Asia. 💻 If you’d like to reach out:News tips: editors@techinasia.comPartnership: baisley@techinasia.comFeedback: @tiafeedbackbot,2108,https://t.me/tianewsfeed,210807
The Official Shopee SG Channel,False,Welcome to the official Shopee channel where we try to provide you with the quickest updates on all that's important for your shopping journey. Join the channel to receive first dibs on all promotios!Shopee Games: https://t.me/SHOPEEPRIZES,6354,https://t.me/TheOfficialShopeeSG,210807
SG Budget Babes,False,Bringing you the latest beauty and fashion promotions and product releases you can’t miss in Singapore. 💋✨Feedback/Enquiry: http://bit.ly/sgbudgetbabesform,38529,https://t.me/BudgetBabes,210807
Best Offers Singapore,False,Official Pelando Singapore channel for best deals and couponsYou can contact us via  @Jimishjoban,5094,https://t.me/PelandoSG,210807
Qoo10 Deals,False,"Welcome to Official Qoo10 Deals Channel!No spamming of random messages, only QUALITY DEALS (and special news that you’ll want to see😉)See more with the Qoo10 app!iOS: https://apple.co/2TsAp6pAndroid: https://tinyurl.com/yx3yfb4b",1702,https://t.me/Qoo10Deals,210807
SGCODE,False,Singapore Promo CodesWe are also on:https://instagram.com/sgcodehttps://facebook.com/sgcodes,38096,https://t.me/SGCode,210807
Kiasu Police 🚨,False,Welcome to Kiasu Police! 👋🏼 🚨 This group is for discussion and live updates of deals 🙌🏼Self-promotional or non-food posts and inappropriate comments will result in an account ban 🐦Tag/PM @kiasufoodies_adminSubmit your deal here: bit.ly/3erke1B,8738,https://t.me/KiasuPolice,210807
Singapore Data Science,False,"🍓 Learn more about Data Science 👍, Machine Learning 😘, Deep Learning, Artificial Intelligence from your fellow Data Science enthusiasts 👩‍🔬 here!",1666,https://t.me/SGData,210807
Singapore Build-to-Order Discussion - sgBTO,False,"An unofficial, Singaporeans for Singaporeans Telegram group to share information, insights and analyses on upcoming BTO projects! 💌💬 @JerekChng / @ThisIsZH (Developer)",9102,https://t.me/SGBTO,210807
Bus Time Bot (SG),False,"I give timings for Go-Ahead, NTU, NUS, SBS Transit, SMRT and Tower Transit buses just by sending me your location.",,https://t.me/Bus_Time_BOT,210807
ShiokBot,False,The helpful singlish spouting bot! Get latest Taxi Promos/Weather/FX/MRT Breakdown Info.Type / to begin!,,https://t.me/ShiokBOT,210807
SG Tech & Games,False,"Bringing you the latest promotions and updates on tech, electronics & gaming gadgets in Singapore.👉 Feedback/Enquiry: bit.ly/techngamesform",6559,https://t.me/techngames,210807
Rain Korkor,False,Rain Korkor helps you quickly and easily view current weather imagery from NEA. Built with ❤️ by @botpoweredsg,,https://t.me/RainKorKorBOT,210807
SG MRT,False,,,https://t.me/SGMRT_BOT,210807
CryptoSG,False,"Singapore BTC, ETH and other crypto chat- Governance, houserules, advisory & affiliated channels: @CryptoSGrules - Newbies/Exchanges @CryptoSGonboarding- FAQs: https://goo.gl/Hdh2nQ- Anything-goes chat: @CryptoSGspam",7336,https://t.me/CryptoSG,210807
🇸🇬 Crypto.com Singapore,False,🇸🇬 Singapore Crypto.com Community⬢ Visa Card: Crypto.com/cards⬢ App: Crypto.com/app⬢ NFT: Crypto.com/nftFB Group: https://www.facebook.com/groups/cryptocom.sg/FB Page: https://www.facebook.com/Cryptocom.SG/Support: Contact[at]crypto.com,4537,https://t.me/Cryptocom_SG,210807
SG Vape station,False,Delivery Sg🇸🇬 Active Vape Community👇Any Question & Order In Whatsapp👇👇🏽👇🏽【Whatsapp Link】Click 👇🏽👇🏽https://wa.link/e1yv36,2046,https://t.me/sgrelx1,210807
SG Vape 🇸🇬,False,Website: http://www.sgvape9.comTelegram Admin ：@SGVapeREX9💰Cash Delivery Sg🚗🇸🇬 All Product In channel🌟👇Any Question & Order In Whatsapp👇+6014-3120 228👇【Whatsapp Link】Click👇https://sgVapehouse.wasap.my,14500,https://t.me/sgvape9,210807
